net,length_um
_02645_,156.27
_05776_,156.21
_06401_,156.205
_164_\[16\],156.145
_01239_,156.115
clknet_0_clk,156.08
_132_\[16\],156.02
_173_\[30\],155.945
_05035_,155.855
_118_\[14\],155.695
_02871_,155.455
_02326_,155.08
_03275_,154.965
_118_\[31\],154.925
_142_\[30\],154.825
_01370_,154.815
_234_\[6\],154.195
_03035_,153.84
_140_\[8\],153.815
_02483_,153.8
_02730_,153.655
_173_\[17\],153.645
_02001_,153.6
_142_\[8\],153.44
_04952_,152.91
_03560_,152.9
_06005_,152.87
_06357_,152.595
_02139_,152.57
_01601_,152.105
_118_\[17\],151.95
_02658_,151.735
_142_\[14\],151.64
_04839_,151.615
_05043_,151.4
_03876_,151.39
_01526_,150.86
clknet_2_1_0_clk,150.86
_01448_,150.63
_05086_,150.505
_099_,150.275
_142_\[24\],150.23
clknet_leaf_78_clk,150.09
_05009_,149.665
_142_\[25\],149.505
_164_\[31\],149.5
_03530_,149.35
clknet_1_1_0_clk,149.29
_05059_,149.28
_03810_,149.27
net26,149.26
_243_\[28\],149.045
_04746_,148.945
_02807_,148.61
_167_\[27\],148.12
_179_\[18\],147.915
_02570_,147.865
_03455_,147.7
_173_\[18\],147.455
_01299_,147.345
_118_\[10\],147.15
_170_\[9\],146.685
_06101_,146.525
_01985_,146.36
_02977_,146.355
_04836_,146.325
_04601_,146.29
_04922_,146.19
_04983_,146.02
_118_\[25\],145.995
_01283_,145.925
_140_\[15\],145.92
_03901_,145.82
_05331_,145.68
_02643_,145.64
net51,145.175
_04766_,145.13
_01266_,145.07
_03439_,144.92
_01297_,144.885
_02564_,144.37
_170_\[23\],144.3
_05002_,144.235
_06412_,143.995
_02383_,143.99
_243_\[24\],143.69
_118_\[30\],143.67
_03512_,143.59
_01461_,143.56
clknet_2_0_0_clk,143.495
_140_\[19\],143.34
_142_\[7\],143.325
_173_\[26\],143.265
_167_\[2\],143.155
_03596_,143.115
_03327_,142.39
_01557_,142.365
_128_\[12\],142.285
_179_\[27\],142.23
_142_\[16\],141.605
_02416_,141.455
_01814_,141.405
_01481_,141.38
_04175_,141.345
_140_\[17\],141.31
_02652_,141.2
_176_\[18\],141.145
_170_\[20\],141.085
_118_\[3\],141.015
_01449_,140.965
_02048_,140.77
_164_\[21\],140.67
_132_\[18\],140.62
_01281_,140.59
_140_\[16\],140.435
_05022_,140.245
_04818_,140.235
_03936_,140.12
_170_\[7\],139.845
_02085_,139.78
_02354_,139.27
_04939_,139.19
_03871_,138.975
_06462_,138.935
_02698_,138.91
_03072_,138.875
_170_\[25\],138.565
_02422_,138.51
_01325_,138.49
_05117_,138.45
_01313_,137.575
_164_\[0\],137.555
_142_\[1\],137.415
_03464_,137.395
_170_\[11\],137.205
_05001_,137.2
_01548_,136.99
_140_\[11\],136.975
_234_\[11\],136.535
_179_\[24\],136.49
_173_\[16\],136.425
_03880_,135.9
_01381_,135.835
_118_\[7\],135.765
_142_\[0\],135.765
_03958_,135.575
_01231_,135.545
_04075_,135.43
_176_\[4\],135.385
_142_\[18\],135.27
_04150_,135.22
_01509_,135.13
_01583_,135.11
_01280_,135.05
_118_\[2\],134.965
_01615_,134.875
_142_\[26\],134.865
_02262_,134.715
_06201_,134.4
_170_\[30\],134.39
clknet_leaf_68_clk,134.34
_02535_,134.215
_05025_,134.21
_04002_,134.195
_03705_,134.15
clknet_leaf_97_clk,133.99
_03393_,133.91
_04437_,133.74
_02506_,133.665
_05193_,133.595
_176_\[11\],133.405
_06068_,133
_02690_,132.91
_04806_,132.865
_04728_,132.765
_01510_,132.56
_243_\[27\],132.465
_02446_,132.435
_01863_,132.245
clknet_leaf_95_clk,132.185
_142_\[17\],132.175
_03974_,131.635
_243_\[30\],131.605
_164_\[28\],131.24
_01960_,131.215
_02540_,131.115
_179_\[30\],131.005
_170_\[28\],130.88
_06145_,130.835
_01242_,130.28
_132_\[11\],130.265
_173_\[23\],130.245
net24,130.13
_03946_,130.01
_142_\[28\],129.905
_243_\[25\],129.715
_243_\[16\],129.665
_02733_,129.43
clknet_2_3_0_clk,129.39
_03595_,128.65
clknet_leaf_109_clk,128.195
_04129_,128.1
_118_\[22\],127.87
_04751_,127.7
_05227_,127.57
clknet_leaf_24_clk,127.535
_173_\[15\],127.365
_03997_,127.29
_02723_,127.28
_01212_,127.075
_03495_,127.02
_05330_,126.69
_03407_,126.615
_01236_,126.43
_167_\[6\],126.39
_173_\[31\],126.39
_243_\[19\],126.355
_02706_,126.175
_05765_,126.02
net33,125.78
_01460_,125.73
_118_\[23\],125.715
clknet_leaf_123_clk,125.67
_118_\[5\],125.615
_173_\[24\],125.545
_176_\[10\],125.515
_06302_,125.48
_01485_,125.195
_164_\[3\],125.195
_04721_,125.045
_02946_,125.04
_140_\[18\],124.8
_176_\[9\],124.73
_04888_,124.445
_118_\[24\],124.43
_03913_,124.375
_03735_,124.31
_179_\[6\],124.28
_03915_,124.26
clknet_leaf_57_clk,124.175
_170_\[24\],124.11
_04777_,123.925
_01235_,123.7
_140_\[13\],123.67
_176_\[23\],123.62
_05958_,123.455
_02176_,123.335
_01268_,123.2
_02573_,123.065
_04725_,123.015
_149_\[9\],122.745
_234_\[9\],122.655
_03069_,122.61
_04942_,122.43
_176_\[12\],122.4
_02656_,122.375
_243_\[17\],122.19
_01892_,122.155
_03960_,122.095
_176_\[1\],122.035
_01558_,121.91
_03667_,121.63
_03884_,121.29
_176_\[26\],121.29
_02760_,121.185
_03726_,121.185
_01278_,121.065
_152_\[11\],121.045
clknet_leaf_54_clk,121.01
clknet_leaf_56_clk,120.735
_243_\[2\],120.665
_03907_,120.445
_179_\[15\],120.395
clknet_leaf_96_clk,120.33
_01607_,120.21
_04051_,120.125
clknet_leaf_23_clk,120.09
_118_\[6\],120.03
_243_\[23\],119.77
clknet_leaf_117_clk,119.675
_05190_,119.67
clknet_leaf_25_clk,119.625
_118_\[26\],119.52
_05068_,119.36
_01237_,119.025
_03158_,118.975
clknet_leaf_126_clk,118.97
_05893_,118.885
_01455_,118.82
_03950_,118.41
_140_\[14\],118.39
_179_\[14\],118.245
_234_\[7\],118.215
_01833_,118.19
clknet_leaf_77_clk,118.15
_05191_,118.075
_06134_,118.01
_03897_,117.68
_06346_,117.635
_179_\[11\],117.555
_03687_,117.435
_03886_,117.35
_176_\[8\],117.15
_03292_,117.11
_152_\[29\],116.995
_118_\[4\],116.62
_01422_,116.47
_01432_,116.32
_04945_,116.285
_176_\[16\],116.19
clknet_leaf_14_clk,115.875
_01238_,115.82
_02294_,115.82
_03478_,115.715
_04799_,115.525
_04936_,115.36
_02775_,115.2
_128_\[24\],115.175
_03424_,115.08
_173_\[21\],114.91
_01847_,114.855
_173_\[22\],114.84
_173_\[14\],114.78
_03006_,114.7
_173_\[13\],114.565
_176_\[6\],114.525
_04774_,114.485
_170_\[21\],114.37
_01565_,114.245
clknet_leaf_1_clk,114.205
_170_\[0\],114.145
_140_\[9\],113.965
_176_\[19\],113.295
_06269_,113.135
clknet_leaf_58_clk,113.03
_05890_,113.015
_02654_,112.89
clknet_leaf_12_clk,112.81
_03983_,112.515
_03935_,112.51
_01639_,112.495
_152_\[5\],112.465
_01248_,112.235
_118_\[29\],112.23
_01580_,111.94
clknet_3_0_0_clk,111.925
_03938_,111.82
_05192_,111.75
_03910_,111.7
_118_\[8\],111.57
_03872_,111.445
_02526_,111.4
_142_\[5\],111.4
_02178_,111.395
clknet_leaf_47_clk,111.37
_03965_,111.355
_176_\[31\],111.095
_04152_,110.935
_03979_,110.655
_128_\[25\],110.645
_04912_,110.465
_04771_,110.32
_03775_,110.275
_118_\[11\],110.19
_05965_,110.035
_170_\[10\],109.955
_03925_,109.82
_170_\[29\],109.755
_01230_,109.715
clknet_3_1_0_clk,109.67
_01240_,109.395
clknet_3_4_0_clk,109.33
_06079_,109.2
_03568_,109.06
_142_\[27\],108.995
_142_\[4\],108.985
_02886_,108.88
clknet_leaf_60_clk,108.855
_01234_,108.815
_01315_,108.645
_04409_,108.51
_02791_,108.485
_02669_,108.25
_02616_,108.14
_01789_,107.835
_05943_,107.76
_01413_,107.705
_03933_,107.645
clknet_leaf_53_clk,107.57
_03859_,107.415
clknet_leaf_22_clk,107.37
_02477_,107.36
_142_\[15\],107.335
_05202_,107.19
_01232_,107.175
_02674_,106.975
_132_\[10\],106.935
_01598_,106.83
_03921_,106.74
_176_\[0\],106.715
_01568_,106.665
clknet_leaf_59_clk,106.6
_06324_,106.545
_176_\[28\],106.54
_152_\[4\],106.27
_170_\[6\],106.195
_04073_,106.155
_130_\[13\],106.06
_02630_,105.875
_01824_,105.78
_02147_,105.675
clknet_3_5_0_clk,105.61
_03914_,105.6
_01452_,105.395
_04830_,105.37
_03607_,105.36
_118_\[27\],105.335
_03306_,105.31
_02242_,105.285
_240_\[23\],105.255
_118_\[21\],105.205
_01301_,105.055
_03265_,104.995
clknet_3_6_0_clk,104.995
clknet_leaf_124_clk,104.905
_05196_,104.79
_173_\[20\],104.725
_170_\[27\],104.675
_243_\[7\],104.655
_03133_,104.635
clknet_leaf_36_clk,104.625
_118_\[9\],104.585
_04581_,104.57
_02607_,104.46
_03919_,104.44
_02224_,104.4
_03544_,104.015
_176_\[21\],103.97
_02562_,103.81
_04113_,103.635
_01314_,103.35
_02606_,103.345
_140_\[27\],103.315
_140_\[24\],103.305
_01594_,103.24
_02666_,103.22
_170_\[16\],103.19
_04557_,103.175
_176_\[27\],102.755
_01466_,102.68
_01429_,102.475
clknet_leaf_7_clk,102.37
_02303_,102.285
_04130_,102.19
_01576_,102.17
_04023_,102.095
_01442_,102.035
_04187_,102.015
clknet_leaf_21_clk,102.005
_195_\[0\],101.985
clknet_leaf_91_clk,101.985
clknet_leaf_4_clk,101.885
clknet_leaf_5_clk,101.81
_130_\[11\],101.655
_03862_,101.625
_02634_,101.535
_03203_,101.51
net69,101.155
_149_\[24\],101.1
_04612_,100.925
_05524_,100.74
_03923_,100.71
clknet_leaf_125_clk,100.625
_234_\[2\],100.51
_05624_,100.5
clknet_3_3_0_clk,100.485
_243_\[31\],100.075
_173_\[1\],100.055
clknet_leaf_63_clk,99.95
_01531_,99.905
_142_\[6\],99.845
_179_\[1\],99.795
_140_\[1\],99.755
clknet_leaf_67_clk,99.755
clknet_leaf_64_clk,99.715
_140_\[29\],99.57
_01609_,99.48
_142_\[29\],99.43
_164_\[29\],99.265
clknet_leaf_106_clk,99.265
_04470_,98.995
_243_\[13\],98.925
_02648_,98.815
_243_\[15\],98.785
_05513_,98.7
